,ID_Video,Category,Annotator,Question,Answer,Caption,Foil,Idefics_Answer,System_evaluation
14,8166472@N03_4977206807_49f8b91a19.avi,Occult entity,Alessandro B.,Are there people in the desks on the left?,"Yes, there are",People are sitting in the desks on the left., People are standing in the desks on the left.,"Yes, there are people sitting in the desks on the left.",Correct
15,8166472@N03_4977206807_49f8b91a19.avi,Entity tracking,Alessandro B.,Is the teacher always behind the student?,She moves around,The teacher moves around the student., The student moves around the teacher.,"No, the teacher is not always behind the student. In some cases, the teacher is in front of the student.",Correct
16,8166472@N03_4977206807_49f8b91a19.avi,Temporal,Alessandro B.,What happens when the teacher explain to the student how to perform the exercise?,The student succeeds,The student successfully performs the exercise after receiving instructions from the teacher., The student unsuccessfully performs the exercise after receiving instructions from the teacher.,The student follows the instructions and performs the exercise.,Correct
17,8166472@N03_4977206807_49f8b91a19.avi,Causal,Alessandro B.,Why the kid is smiling at the end of the video?,Because she completed the assignment,The kid is smiling because she finished the assignment., The kid is smiling because she didn't finish the assignment.,The kid is smiling because he has successfully completed the task given to him by the teacher.,Correct
18,8166472@N03_4977206807_49f8b91a19.avi,Commonsense,Alessandro B.,Where are they?,In a computer lab at school,They are in a computer lab at school., They are in a chemistry lab at school.,They are in a classroom.,Correct
19,8166472@N03_4977206807_49f8b91a19.avi,Implicit,Alessandro B.,Is a teacher or a student filming the scene?,Probably a teacher,The scene is being filmed by a teacher., The scene is being filmed by a student.,It is unclear from the image whether a teacher or a student is filming the scene.,Not_correct
20,8166472@N03_4977206807_49f8b91a19.avi,Outofscope,Lucia,What is the boy in front of the computer doing?,"It is a girl, not a boy",A girl is using the computer., A boy is using the computer.,The boy in front of the computer is looking at the screen.,Not_correct
21,8166472@N03_4977206807_49f8b91a19.avi,Counterfactual,Lucia,What would happen if the girl didn't listen to the teacher?,The teacher would not be happy,The unhappy teacher would be the result of the girl not listening., The unhappy teacher would be the result of the boy not listening.,"If the girl didn't listen to the teacher, she might miss out on important information or instructions. This could negatively impact her performance on the assignment or test. It could also lead to a negative consequence, such as a lower grade or a warning from the teacher.",Correct
22,8166472@N03_4977206807_49f8b91a19.avi,Uncertainty,Lucia,Is the coffee cup full?,Can't say,The status of the coffee cup's contents is uncertain., The status of the tea cup's contents is uncertain.,"No, the coffee cup is empty.",Not_correct
23,8166472@N03_4977206807_49f8b91a19.avi,Sentiment,Lucia,Is the student happy?,"Yes, when she succeeds",The student is happy when she succeeds., The student is happy when she fails.,"Yes, the student is happy.",Correct
24,8166472@N03_4977206807_49f8b91a19.avi,Occult entity,Lucia,What is behind the column,Other desks,Other desks are situated behind the column., Some desks are situated behind the column.,A computer monitor is behind the column.,Not_correct
25,8166472@N03_4977206807_49f8b91a19.avi,Entity tracking,Lucia,What is the teacher pointing to?,The computer screen,The teacher is pointing at the computer screen., The student is pointing at the computer screen.,The teacher is pointing to a computer screen.,Correct
26,8166472@N03_4977206807_49f8b91a19.avi,Temporal,Lucia,Does the computer screen changes at the end of the video?,Yes,The computer screen changes at the end of the video., The computer screen changes at the beginning of the video.,"Yes, the computer screen changes at the end of the video.",Correct
27,8166472@N03_4977206807_49f8b91a19.avi,Causal,Lucia,Why the kid is smiling at the end of the video?,Because she completed the assignment,The kid is smiling at the end of the video because she completed the assignment., The kid is frowning at the end of the video because she didn't complete the assignment.,The kid is smiling because he has successfully completed the task given to him by the teacher.,Correct
28,8166472@N03_4977206807_49f8b91a19.avi,Commonsense,Lucia,What class is the woman teaching?,A computer class,The woman is teaching a computer class., The man is teaching a computer class.,The woman is teaching a computer class.,Correct
29,8166472@N03_4977206807_49f8b91a19.avi,Implicit,Lucia,Are they in school?,Yes,They are in school., They are outside.,"Yes, they are in school.",Correct
30,8166472@N03_4977206807_49f8b91a19.avi,Outofscope,Giovanni,is the old man holding a cup?,There is no old man,The video does not feature an old man holding a cup., The video features an old woman holding a cup.,"Yes, the old man is holding a cup.",Not_correct
31,8166472@N03_4977206807_49f8b91a19.avi,Counterfactual,Giovanni,What would happen if someone drops some liquid on the pc?,it would stop working,The PC would stop working if liquid is spilled on it., The PC would continue working if liquid is spilled on it.,"If someone drops some liquid on the pc, it could cause damage to the electronic components inside the computer. The liquid could seep into the computer and cause short circuits, which could lead to permanent damage or even a complete failure of the computer. It is important to avoid spilling liquids",Correct
32,8166472@N03_4977206807_49f8b91a19.avi,Uncertainty,Giovanni,is the young student working on a web site?,difficult to understand,The young student's task is unclear as it is difficult to understand., It's easy to comprehend the young student's task as it is explained clearly.,"Yes, the young student is working on a web site.",Not_correct
33,8166472@N03_4977206807_49f8b91a19.avi,Sentiment,Giovanni,How would you describe the sentiment of the student at the end of the video?,she seems happy,The student appears to be happy at the end of the video., The student appears to be sad at the end of the video.,The student is happy at the end of the video.,Correct
34,8166472@N03_4977206807_49f8b91a19.avi,Occult entity,Giovanni,what is the color of the t-shirt of the girl sited nearby the young student?,she has a with t-shirt,The girl sitting next to the young student is wearing a white t-shirt., The girl sitting next to the young student is wearing a black t-shirt.,The girl sited nearby the young student is wearing a green t-shirt.,Not_correct
35,8166472@N03_4977206807_49f8b91a19.avi,Entity tracking,Giovanni,is the cup position changed between the beginning and the end of the video?,no,The cup remains in the same position throughout the video., The cup moves slightly to the left throughout the video.,"No, the cup is in the same position at the beginning and the end of the video.",Correct
36,8166472@N03_4977206807_49f8b91a19.avi,Temporal,Giovanni,does the teacher give the high 5 before or after pointing to the screen?,after,The teacher gives the high 5 after pointing to the screen., The teacher gives the high 5 before pointing to the screen.,The teacher gives the high,Not_correct
37,8166472@N03_4977206807_49f8b91a19.avi,Causal,Giovanni,what is the cause of the girl smiling?,she smiles because she succeded at her task,The girl smiles in satisfaction after successfully completing her task., The girl frowns in frustration after failing to complete her task.,The girl is smiling because she is looking at a computer screen.,Not_correct
38,8166472@N03_4977206807_49f8b91a19.avi,Commonsense,Giovanni,where is located the scene?,probably in a school IT laboratory,The scene is likely situated in a school IT laboratory., The scene is likely situated in a school chemistry laboratory.,The scene is located in a classroom.,Not_correct
39,8166472@N03_4977206807_49f8b91a19.avi,Implicit,Giovanni,is day time?,yes,The video is in day time., The video is in night time.,"Yes, it is day time.",Correct
41,8166472@N03_4977206807_49f8b91a19.avi,Counterfactual,Alessio,What would have happened if the power had gone out?,The student could not complete the task on the computer.,The task on the computer could not be completed due to a power outage., The technician fixed the computer quickly so that the task could be completed on time.,"If the power had gone out, the computers would have shut down, and the work would have been lost.",Correct
42,8166472@N03_4977206807_49f8b91a19.avi,Uncertainty,Alessio,Does the teacher teach computer science?,"It is possible, but there is not enough evidence to state this with certainty.","The teacher may teach computer science, but there's not enough evidence to confirm it."," The teacher may not teach computer science, but there's not enough evidence to deny it.","Yes, the teacher teaches computer science.",Not_correct
43,8166472@N03_4977206807_49f8b91a19.avi,Sentiment,Alessio,Is the girl happy at the end of the video?,Yes.,The girl is happy at the end of the video., The girl is sad at the end of the video.,"Yes, the girl is happy at the end of the video.",Correct
44,8166472@N03_4977206807_49f8b91a19.avi,Occult entity,Alessio,Who is the other person talking in the video?,Probably another teacher.,Another teacher is speaking in the video., An actor is speaking in the video.,The other person talking in the video is a woman.,Correct
45,8166472@N03_4977206807_49f8b91a19.avi,Entity tracking,Alessio,Does the teacher move during the video?,Yes.,The teacher is seen moving during the video., The student is seen moving during the video.,"No, the teacher remains seated throughout the video.",Not_correct
46,8166472@N03_4977206807_49f8b91a19.avi,Temporal,Alessio,Is the teacher present at the end of the video?,No.,The teacher is not present at the end of the video., The teacher is present at the end of the video.,"Yes, the teacher is present at the end of the video.",Not_correct
47,8166472@N03_4977206807_49f8b91a19.avi,Causal,Alessio,What happens after the teacher praises the student?,The student smiles.,The student smiles after receiving praise from their teacher., The student frowns after receiving criticism from their teacher.,The student continues to work on the computer.,Not_correct
48,8166472@N03_4977206807_49f8b91a19.avi,Commonsense,Alessio,Is the video filmed in a school?,Yes.,The video was filmed in a school., The video was filmed in a park.,"Yes, the video is filmed in a school.",Correct
49,8166472@N03_4977206807_49f8b91a19.avi,Implicit,Alessio,Is the video filmed during the night?,Probably no.,The video was likely not filmed at night., The video was likely filmed at night.,"No, the video is not filmed during the night.",Correct
50,8166472@N03_4977206807_49f8b91a19.avi,Outofscope,Raffaella,Is the cat on the table black?,There is no cat on the table.,The table is cat-free., The table is dog-free.,"Yes, the cat on the table is black.",Not_correct
51,8166472@N03_4977206807_49f8b91a19.avi,Uncertainty,Raffaella,Is the lady a doctor?,It's not clear from the video,The woman's profession is not evident in the video., The woman's profession is clear in the video.,"Yes, the lady is a doctor.",Not_correct
52,8166472@N03_4977206807_49f8b91a19.avi,Sentiment,Raffaella,Was the girl successful in her task?,"Yes, she was.",The girl successfully completed her task., The boy successfully completed his task.,"Yes, the girl was successful in her task.",Correct
53,8166472@N03_4977206807_49f8b91a19.avi,Temporal,Raffaella,Is the blond lady always present in the video?,"No, she is not.",The blond lady is not always present in the video., The lady with brown hair is not always present in the video. (swapped blond with brown hair),"No, the blond lady is not always present in the video. She appears in some parts of the video and is not present in others.",Correct
54,8166472@N03_4977206807_49f8b91a19.avi,Commonsense,Raffaella,"Between the girl and the lady, who is the teacher and who is the student?","The lady is the teacher, the girl is the student",The lady is the teacher and the girl is the student., The girl is the teacher and the lady is the student.,The girl is the student and the lady is the teacher.,Correct
55,8166472@N03_4977206807_49f8b91a19.avi,Implicit,Raffaella,Why is the girl happy at end of the video?,Because she succeeded in her task,The girl is happy at the end of the video because she successfully completed her task., The girl is sad at the end of the video because she failed to complete her task.,The girl is happy at the end of the video because she has successfully completed her task of finding a specific website on the computer.,Correct
56,12247055@N00_3429200228_9ba52a9c28.avi,Outofscope,Alessandro B.,Where is the person playing the harmonica,There is no person playing the harmonica,The harmonica remains unplayed in the scene., The harmonica is being played in the scene.,The person playing the harmonica is on the left side of the stage.,Not_correct
57,12247055@N00_3429200228_9ba52a9c28.avi,Counterfactual,Alessandro B.,Is the bald guy playing the guitar?,"No, he is playing the drums",The bald guy is playing the drums., The bald guy is playing the guitar.,"Yes, the bald guy is playing the guitar.",Not_correct
58,12247055@N00_3429200228_9ba52a9c28.avi,Uncertainty,Alessandro B.,is there a crowd listening,There are no elements to know,The scene is quiet with no audience present., The scene is loud with no audience present.,"Yes, there is a crowd listening to the band.",Not_correct
59,12247055@N00_3429200228_9ba52a9c28.avi,Sentiment,Alessandro B.,Are they sad?,"No, they seem happy",They seem happy., They seem sad.,"No, they are not sad.",Correct
60,12247055@N00_3429200228_9ba52a9c28.avi,Occult entity,Alessandro B.,What is behind the person on the left?,An amplifier,An amplifier is visible behind the person on the left., An amplifier is visible behind the person on the right.,A speaker,Not_correct
61,12247055@N00_3429200228_9ba52a9c28.avi,Entity tracking,Alessandro B.,Do the band members change position?,"No, they stay in their place",The band members remain in their positions throughout the video., The band members move around frequently throughout the video.,"Yes, the band members change position throughout the performance.",Not_correct
62,12247055@N00_3429200228_9ba52a9c28.avi,Temporal,Alessandro B.,Do the song end at the end of the video?,No,The song doesn't end at the end of the video., The song ends at the end of the video.,"No, the song continues after the video ends.",Correct
63,12247055@N00_3429200228_9ba52a9c28.avi,Causal,Alessandro B.,Why are they playing?,Because they are at a concert,They are playing at a concert., They are playing at a festival.,They are playing because they are a band.,Correct
64,12247055@N00_3429200228_9ba52a9c28.avi,Commonsense,Alessandro B.,Why do the light changes color,Because it is a concert,The light changes color during the concert., The sound changes color during the concert.,The light changes color to create a visually appealing atmosphere and to match the mood of the event or venue. It can also be used to highlight specific areas or objects in the room. The color of the light can be adjusted using a lighting console or manually by the lighting,Correct
65,12247055@N00_3429200228_9ba52a9c28.avi,Implicit,Alessandro B.,Is the music loud?,"yes, it is a concert",The concert music is loud., The concert music is soft.,"Yes, the music is loud.",Correct
66,12247055@N00_3429200228_9ba52a9c28.avi,Outofscope,Lucia,Is someone playing the piano?,There is no piano,The video does not feature any piano playing., The video features a lot of piano playing.,"Yes, there is a man playing the piano.",Not_correct
67,12247055@N00_3429200228_9ba52a9c28.avi,Counterfactual,Lucia,What would happen if they stopped playing?,The music would stop,The music would stop if they stopped playing., The music wouldn't stop if they stopped playing.,"If the band stopped playing, the music would stop, and the room would return to silence. The audience would likely react to the sudden change in the music, and the band members might need to adjust to the new situation. They might start a conversation or engage with the audience in some way",Correct
68,12247055@N00_3429200228_9ba52a9c28.avi,Uncertainty,Lucia,How is the song called?,Don't know,The song remains unnamed., The song remains unclaimed.,"The song is called ""Sweet Child O' Mine"".",Not_correct
69,12247055@N00_3429200228_9ba52a9c28.avi,Sentiment,Lucia,Are they having fun?,It looks like it,They seem to be enjoying themselves., They seem to be enduring themselves.,"Yes, they are having fun.",Correct
70,12247055@N00_3429200228_9ba52a9c28.avi,Occult entity,Lucia,What is behind the singer?,The drum kit,The drum kit is behind the singer., The drum kit is beside the singer.,There is a drum set behind the singer.,Correct
71,12247055@N00_3429200228_9ba52a9c28.avi,Entity tracking,Lucia,Do the singer moves around?,"No, he stay in place",The singer remains stationary during the performance., The backup dancers remain stationary during the performance.,"Yes, the singer moves around the stage while performing.",Not_correct
72,12247055@N00_3429200228_9ba52a9c28.avi,Temporal,Lucia,When do the lights change color?,In tune with the song's rithm,The lights change color in tune with the song's rhythm., The lights change color randomly and have no relation to the song's rhythm.,The lights change color during the performance.,Correct
73,12247055@N00_3429200228_9ba52a9c28.avi,Causal,Lucia,Why are they playing?,Because they are at a concert,The musicians are playing because they are at a concert., The audience is silent because they are still waiting for the musicians to arrive.,They are playing because they are a band.,Correct
74,12247055@N00_3429200228_9ba52a9c28.avi,Commonsense,Lucia,Where are them?,At a concert,They are at a concert., They are at a music festival.,They are on a stage.,Correct
75,12247055@N00_3429200228_9ba52a9c28.avi,Implicit,Lucia,What genre are they playing?,rock,They are playing rock., They are playing jazz.,They are playing rock music.,Correct
76,12247055@N00_3429200228_9ba52a9c28.avi,Outofscope,Davide,When did the musician start to play the piano?,Nobody is playing the piano in the video,The piano is not being played in the video., The guitar is not being played in the video.,The musician started to play the piano at,Not_correct
77,12247055@N00_3429200228_9ba52a9c28.avi,Counterfactual,Davide,What would happen if the yellow curtain in the background fell down?,"The curtain would fall on the drummer, who would stop playing",The yellow curtain could potentially interrupt the drummer's performance if it falls during the video shoot., The blue curtain could potentially interrupt the drummer's performance if it falls during the video shoot.,"If the yellow curtain in the background fell down, it could potentially block the view of the stage for the audience. This could be a problem if the band is performing and the audience needs to see the performance. The curtain could also potentially fall on someone in the audience, which could be dangerous",Not_correct
78,12247055@N00_3429200228_9ba52a9c28.avi,Uncertainty,Davide,Have they been playing together for a long time?,It 's hard to say,They may or may not have played together for a long time., They have played together for a long time.,"Yes, the band has been playing together for a long time.",Correct
79,12247055@N00_3429200228_9ba52a9c28.avi,Uncertainty,Davide,Is the singer lip-synching?,"Apparently not, but not sure","The singer may not be lip-synching, but it's uncertain.", The singer is definitely lip-synching.,"No, the singer is not lip-synching. He is singing live while the band plays.",Correct
80,12247055@N00_3429200228_9ba52a9c28.avi,Sentiment,Davide,Are they psyched up for their exhibition?,Yes,They are psyched up for their exhibition., They are psyched up for their vacation.,"Yes, they seem to be psyched up for their exhibition.",Correct
81,12247055@N00_3429200228_9ba52a9c28.avi,Occult entity,Davide,Who changes the lights?,Maybe the lighting technician,The lighting technician changes the lights., The sound technician changes the lights.,The band changes the lights.,Not_correct
82,12247055@N00_3429200228_9ba52a9c28.avi,Entity tracking,Davide,Does the singer switch places with the guitarist during the song?,No,The singer does not switch places with the guitarist during the song., The guitarist does not switch places with the singer during the song.,"Yes, the singer switches places with the guitarist during the song.",Not_correct
83,12247055@N00_3429200228_9ba52a9c28.avi,Temporal,Davide,Does the singer start singing after th group start playing instruments?,Yes,The singer begins singing after the group starts playing instruments., The singer begins playing instruments after the group starts singing.,"Yes, the singer starts singing after the group starts playing instruments.",Correct
84,12247055@N00_3429200228_9ba52a9c28.avi,Causal,Davide,Why are they playing there?,Because someone invited them for the night in the club,They are playing there because they were invited for the night in the club., They are playing there because they were invited for the night at the casino.,The band is playing at a venue to perform for an audience.,Correct
85,12247055@N00_3429200228_9ba52a9c28.avi,Commonsense,Davide,Where are they playing?,"They are playing indoors, maybe in a bar/club/pub","They are playing indoors, possibly in a bar or club."," They are playing outdoors, possibly in a park or garden.",They are playing in a club.,Correct
86,12247055@N00_3429200228_9ba52a9c28.avi,Commonsense,Davide,Is there only one singer in the group?,Yes,The group has only one singer., The group has only one dancer.,"Yes, there is only one singer in the group.",Correct
87,12247055@N00_3429200228_9ba52a9c28.avi,Implicit,Davide,Are there people in the club?,Definitely,There are definitely people in the club., There are hardly any people in the club.,"Yes, there are people in the club.",Correct
88,12247055@N00_3429200228_9ba52a9c28.avi,Implicit,Davide,What kind of music does the group play?,Definitely rock music,The group definitely plays rock music., The group probably plays rock music.,The group plays rock music.,Correct
89,12247055@N00_3429200228_9ba52a9c28.avi,Outofscope,Giovanni,is there a piano?,no,The video scene does not feature a piano., The video scene features a guitar.,"No, there is no piano in the image.",Correct
90,12247055@N00_3429200228_9ba52a9c28.avi,Counterfactual,Giovanni,what can happen if the curtain on the back falls?,it could occlude the drum player.,The curtain falling on the back could occlude the drum player., The curtain falling on the front could occlude the guitar player.,"If the curtain on the back falls, it could potentially block the view of the stage for the audience. It could also pose a safety risk if it falls on the audience.",Not_correct
91,12247055@N00_3429200228_9ba52a9c28.avi,Uncertainty,Giovanni,what is the colour of the drummer t-shirt,maybe white,The drummer's T-shirt is possibly white., The drummer's T-shirt is possibly black.,The drummer is wearing a black t-shirt.,Not_correct
92,12247055@N00_3429200228_9ba52a9c28.avi,Sentiment,Giovanni,are the players hyped?,yes,The players are hyped., The fans are hyped.,"Yes, the players are hyped.",Correct
93,12247055@N00_3429200228_9ba52a9c28.avi,Occult entity,Giovanni,is there an amplified speaker on the left?,yes,There is an amplified speaker on the left., There is an amplified speaker on the right.,"Yes, there is an amplified speaker on the left.",Correct
94,12247055@N00_3429200228_9ba52a9c28.avi,Entity tracking,Giovanni,Are the guitarists swapping their positions?,no,The guitarists are not swapping positions., The bassists are not swapping positions.,"Yes, the guitarists are swapping their positions.",Not_correct
95,12247055@N00_3429200228_9ba52a9c28.avi,Temporal,Giovanni,What happens at the end of the video?,the band is still playing,The band continues playing at the end of the video., The band stops playing at the end of the video.,The video ends with the band members bowing to the audience.,Not_correct
96,12247055@N00_3429200228_9ba52a9c28.avi,Causal,Giovanni,Why some of the people in the video shaking their left hands?,because that is how you play guitars,The guitar players in the video are shaking their left hands because that's how guitar playing works!, The guitar players in the video are shaking their right hands because that's how guitar playing works!,The people in the video are shaking their left hands as a form of applause or approval for the band's performance. It is a common practice for audience members to clap and show their appreciation for a musical performance by shaking their hands or clapping their hands together.,Not_correct
97,12247055@N00_3429200228_9ba52a9c28.avi,Commonsense,Giovanni,is there an audience?,probably yes,There is likely an audience present., There is unlikely an audience present.,"Yes, there is an audience in the image.",Correct
98,12247055@N00_3429200228_9ba52a9c28.avi,Implicit,Giovanni,are they having fun?,probably yes,They are likely enjoying themselves., They are likely not enjoying themselves.,"Yes, they are having fun!",Correct
99,12247055@N00_3429200228_9ba52a9c28.avi,Outofscope,Raffaella,Is the man playing piano also the singer?,There is no man playing piano., No one is playing the piano in this video., There is someone playing the guitar in this video.,"Yes, the man playing piano is also the singer.",Not_correct
100,12247055@N00_3429200228_9ba52a9c28.avi,Counterfactual,Raffaella,What would happen if the electricity goes down?,They might stop playing,The game could be paused if there's a power outage., The game can't be paused if there's a power outage.,"If the electricity goes down, the band would not be able to play their instruments and perform. They would be left with no power source to run their amplifiers and other equipment. This could result in a disrupted performance or even a complete cancellation of the show.",Not_correct
101,12247055@N00_3429200228_9ba52a9c28.avi,Uncertainty,Raffaella,Is there an audience?,"Probably yes, but it could be a trail","There is a possibility of an audience present, but it could also be a trail."," There is a possibility of an audience present, but it could also be a trial.","Yes, there is an audience in the image.",Not_correct
102,12247055@N00_3429200228_9ba52a9c28.avi,Sentiment,Raffaella,Do the players enjoy the concert?,"Yes, they do",The players are enjoying the concert., The spectators are enjoying the concert.,"The image does not provide enough information to determine whether the players enjoy the concert. However, the fact that they are playing music together suggests that they might be having a good time.",Correct
103,12247055@N00_3429200228_9ba52a9c28.avi,Occult entity,Raffaella,Where does the music come from?,The stereo behind the boy in black,The music comes from the stereo behind the boy in black., The music comes from the speaker in front of the boy in black.,The music comes from the soul.,Not_correct
104,12247055@N00_3429200228_9ba52a9c28.avi,Entity tracking,Raffaella,Who is the singer?,The boy with the red shirt,The singer is the boy with the red shirt., The singer is the boy with the blue shirt.,The singer is a woman.,Not_correct
105,12247055@N00_3429200228_9ba52a9c28.avi,Temporal,Raffaella,Does the boy with the red T-shirt sing during the whole video?,No he starts after a few seconds,The boy in the red T-shirt starts singing after a few seconds., The boy in the blue T-shirt starts singing after a few seconds.,"No, the boy with the red T-shirt is not singing during the whole video. He is seen singing along with the band during the song.",Correct
106,12247055@N00_3429200228_9ba52a9c28.avi,Commonsense,Raffaella,Are the boys playing classical music?,"No, they are not",The boys are not playing classical music., The girls are not playing classical music.,"No, the boys are not playing classical music. They are playing rock music.",Correct
107,12247055@N00_3429200228_9ba52a9c28.avi,Outofscope,Alessio,Does the bassist have long hair?,There is no bass player.,The band does not have a bass player., The band has the best bass player in town.,"Yes, the bassist has long hair.",Not_correct
108,12247055@N00_3429200228_9ba52a9c28.avi,Counterfactual,Alessio,What would happen if the curtain behind the band fell down?,The drummer would probably stop playing.,The drummer would stop playing if the curtain behind the band fell down., The guitarist would stop playing if the bassist played a wrong note.,"If the curtain behind the band fell down, it could potentially obstruct the view of the audience or even pose a safety risk if it were to fall on someone. In such a situation, the band would need to pause their performance and address the issue, ensuring the safety of the audience",Not_correct
109,12247055@N00_3429200228_9ba52a9c28.avi,Uncertainty,Alessio,Is the guitarist a professional guitarist?,There are not enough information the answer this question.,The guitarist's profession is unknown., The bassist's profession is unknown.,"Yes, the guitarist is a professional guitarist.",Not_correct
110,12247055@N00_3429200228_9ba52a9c28.avi,Sentiment,Alessio,Is the guitarist bored?,It seems not.,The guitarist appears to be engaged., The bassist appears to be engaged.,"It is possible that the guitarist is bored, as he is looking away from the camera.",Not_correct
111,12247055@N00_3429200228_9ba52a9c28.avi,Occult entity,Alessio,What does the paper on the floor contain?,Probably the setlist.,The paper on the floor likely contains the setlist., The paper on the ceiling likely contains the setlist.,The paper on the floor contains lyrics.,Not_correct
112,12247055@N00_3429200228_9ba52a9c28.avi,Entity tracking,Alessio,Does the singer start jumping?,No.,The singer does not jump., The dancer does not jump.,"Yes, the singer starts jumping.",Not_correct
113,12247055@N00_3429200228_9ba52a9c28.avi,Temporal,Alessio,Does the singer sing for the entire duration of the video?,No.,The singer doesn't sing the whole time., The singer sings the whole time.,"Yes, the singer is seen singing for the entire duration of the video.",Not_correct
114,12247055@N00_3429200228_9ba52a9c28.avi,Causal,Alessio,What happens when the boy on the right moves his left arm?,He changes chords on the guitar.,The boy changes guitar chords by moving his left arm., The boy changes guitar chords by moving his right arm.,The boy on the left will move his right arm.,Not_correct
115,12247055@N00_3429200228_9ba52a9c28.avi,Commonsense,Alessio,Where was the video filmed?,"Probably in a club, or a bar.",The video was likely filmed in a club or bar., The video was likely filmed in a restaurant or café.,The video was filmed at a club.,Correct
116,12247055@N00_3429200228_9ba52a9c28.avi,Implicit,Alessio,Are there people attending the concert?,Yes.,People are attending the concert., Dogs are attending the concert.,"Yes, there are people attending the concert.",Correct
117,31418118@N00_3210797351_183d815d23.mov,Outofscope,Alessandro B.,What does the cat do?,There is no cat,The scene does not feature a cat., The scene features a dog.,The cat is playing with a paper towel.,Not_correct
118,31418118@N00_3210797351_183d815d23.mov,Counterfactual,Alessandro B.,What would happen if the rabbit was locked in its cage,It couldn't play,The rabbit is unable to play when confined to its cage., The rabbit is able to play when confined to its cage.,"If the rabbit was locked in its cage, it would be unable to move freely and would be confined to a small space. This could lead to stress and anxiety for the rabbit, as well as a lack of exercise and mental stimulation. It is important to provide rabbits",with enough
119,31418118@N00_3210797351_183d815d23.mov,Uncertainty,Alessandro B.,What's inside the box?,We don't see inside the box,The contents of the box remain a mystery., The contents of the box are now known to everyone. (opposite),There are some papers inside the box.,Not_correct
120,31418118@N00_3210797351_183d815d23.mov,Sentiment,Alessandro B.,Do the rabbit look happy?,"Yes, it is playing",The rabbit is happily playing., The rabbit is sadly playing.,"Yes, the rabbit looks happy.",Correct
