,ID_Video,Category,Annotator,Question,Answer,Caption
16,8166472@N03_4977206807_49f8b91a19.avi,Temporal,Alessandro B.,What happens when the teacher explain to the student how to perform the exercise?,The student succeeds,The student successfully performs the exercise after receiving instructions from the teacher.
17,8166472@N03_4977206807_49f8b91a19.avi,Causal,Alessandro B.,Why the kid is smiling at the end of the video?,Because she completed the assignment,The kid is smiling at the end of the video because she successfully completed her assignment.
18,8166472@N03_4977206807_49f8b91a19.avi,Commonsense,Alessandro B.,Where are they?,In a computer lab at school,They are in a computer lab at school.
19,8166472@N03_4977206807_49f8b91a19.avi,Implicit,Alessandro B.,Is a teacher or a student filming the scene?,Probably a teacher,The scene was likely filmed by a teacher.
20,8166472@N03_4977206807_49f8b91a19.avi,Outofscope,Lucia,What is the boy in front of the computer doing?,"It is a girl, not a boy",The girl is using the computer in front of her.
21,8166472@N03_4977206807_49f8b91a19.avi,Counterfactual,Lucia,What would happen if the girl didn't listen to the teacher?,The teacher would not be happy, Listen to the teacher for happy results.
22,8166472@N03_4977206807_49f8b91a19.avi,Uncertainty,Lucia,Is the coffee cup full?,Can't say, The status of the coffee cup remains uncertain.
23,8166472@N03_4977206807_49f8b91a19.avi,Sentiment,Lucia,Is the student happy?,"Yes, when she succeeds",The happy student succeeds.
24,8166472@N03_4977206807_49f8b91a19.avi,Occult entity,Lucia,What is behind the column,Other desks,The video reveals other desks hidden behind the column.
25,8166472@N03_4977206807_49f8b91a19.avi,Entity tracking,Lucia,What is the teacher pointing to?,The computer screen,The teacher is pointing to the computer screen.
26,8166472@N03_4977206807_49f8b91a19.avi,Temporal,Lucia,Does the computer screen changes at the end of the video?,Yes,The computer screen changes at the end of the video.
27,8166472@N03_4977206807_49f8b91a19.avi,Causal,Lucia,Why the kid is smiling at the end of the video?,Because she completed the assignment,The kid's smile is a result of successfully completing the assignment.
28,8166472@N03_4977206807_49f8b91a19.avi,Commonsense,Lucia,What class is the woman teaching?,A computer class,The woman is teaching a computer class.
29,8166472@N03_4977206807_49f8b91a19.avi,Implicit,Lucia,Are they in school?,Yes,The scene shows them inside a school.
30,8166472@N03_4977206807_49f8b91a19.avi,Outofscope,Giovanni,is the old man holding a cup?,There is no old man,The video does not feature an old man holding a cup.
31,8166472@N03_4977206807_49f8b91a19.avi,Counterfactual,Giovanni,What would happen if someone drops some liquid on the pc?,it would stop working, Discover the risk of liquid damage on your PC.
32,8166472@N03_4977206807_49f8b91a19.avi,Uncertainty,Giovanni,is the young student working on a web site?�,difficult to understand, The young student appears to be working on something challenging.
33,8166472@N03_4977206807_49f8b91a19.avi,Sentiment,Giovanni,How would you describe the sentiment of the student at the end of the video?,she seems happy,The student ends the video with a joyful expression.
34,8166472@N03_4977206807_49f8b91a19.avi,Occult entity,Giovanni,what is the color of the t-shirt of the girl sited nearby the young student?,she has a with t-shirt,The girl sitting next to the young student is wearing a white t-shirt.
35,8166472@N03_4977206807_49f8b91a19.avi,Entity tracking,Giovanni,is the cup position changed between the beginning and the end of the video?,no,The position of the cup remains unchanged throughout the video.
36,8166472@N03_4977206807_49f8b91a19.avi,Temporal,Giovanni,does the teacher give the high 5 before or after pointing to the screen?,after,The teacher gives a high five after pointing to the screen.
37,8166472@N03_4977206807_49f8b91a19.avi,Causal,Giovanni,what is the cause of the girl smiling?,she smiles because she succeded at her task,The girl beams with pride after accomplishing her task.
38,8166472@N03_4977206807_49f8b91a19.avi,Commonsense,Giovanni,where is located the scene?,probably in a school IT laboratory,The video scene takes place in a school IT laboratory.
39,8166472@N03_4977206807_49f8b91a19.avi,Implicit,Giovanni,is day time?,yes,The video is set during the day.
40,8166472@N03_4977206807_49f8b91a19.avi,Outofscope,Alessio,What door does the key around the teacher's neck open?,It cannot be determined from the video.,The purpose of the key around the teacher's neck remains uncertain.
41,8166472@N03_4977206807_49f8b91a19.avi,Counterfactual,Alessio,What would have happened if the power had gone out?,The student could not complete the task on the computer.,"Due to a power outage, the student was unable to finish their computer task."
42,8166472@N03_4977206807_49f8b91a19.avi,Uncertainty,Alessio,Does the teacher teach computer science?,"It is possible, but there is not enough evidence to state this with certainty.","The teacher's area of expertise is uncertain, as there is not enough evidence to confirm if they teach computer science."
43,8166472@N03_4977206807_49f8b91a19.avi,Sentiment,Alessio,Is the girl happy at the end of the video?,Yes.,The girl is happy at the end of the video.
44,8166472@N03_4977206807_49f8b91a19.avi,Occult entity,Alessio,Who is the other person talking in the video?,Probably another teacher.,"The video features a discussion between teachers, possibly with an additional speaker."
45,8166472@N03_4977206807_49f8b91a19.avi,Entity tracking,Alessio,Does the teacher move during the video?,Yes.,The teacher moves during the video.
46,8166472@N03_4977206807_49f8b91a19.avi,Temporal,Alessio,Is the teacher present at the end of the video?,No.,The teacher is not present at the end of the video.
47,8166472@N03_4977206807_49f8b91a19.avi,Causal,Alessio,What happens after the teacher praises the student?,The student smiles.,The student smiles as the teacher praises them in the video.
48,8166472@N03_4977206807_49f8b91a19.avi,Commonsense,Alessio,Is the video filmed in a school?,Yes.,The video was filmed in a school.
49,8166472@N03_4977206807_49f8b91a19.avi,Implicit,Alessio,Is the video filmed during the night?,Probably no.,The video was likely not filmed at night.
