,ID_Video,Category,Annotator,Question,Answer
16,8166472@N03_4977206807_49f8b91a19.avi,Temporal,Alessandro B.,What happens when the teacher explain to the student how to perform the exercise?,The student succeeds
17,8166472@N03_4977206807_49f8b91a19.avi,Causal,Alessandro B.,Why the kid is smiling at the end of the video?,Because she completed the assignment
18,8166472@N03_4977206807_49f8b91a19.avi,Commonsense,Alessandro B.,Where are they?,In a computer lab at school
19,8166472@N03_4977206807_49f8b91a19.avi,Implicit,Alessandro B.,Is a teacher or a student filming the scene?,Probably a teacher
20,8166472@N03_4977206807_49f8b91a19.avi,Outofscope,Lucia,What is the boy in front of the computer doing?,"It is a girl, not a boy"
21,8166472@N03_4977206807_49f8b91a19.avi,Counterfactual,Lucia,What would happen if the girl didn't listen to the teacher?,The teacher would not be happy
22,8166472@N03_4977206807_49f8b91a19.avi,Uncertainty,Lucia,Is the coffee cup full?,Can't say
23,8166472@N03_4977206807_49f8b91a19.avi,Sentiment,Lucia,Is the student happy?,"Yes, when she succeeds"
24,8166472@N03_4977206807_49f8b91a19.avi,Occult entity,Lucia,What is behind the column,Other desks
25,8166472@N03_4977206807_49f8b91a19.avi,Entity tracking,Lucia,What is the teacher pointing to?,The computer screen
26,8166472@N03_4977206807_49f8b91a19.avi,Temporal,Lucia,Does the computer screen changes at the end of the video?,Yes
27,8166472@N03_4977206807_49f8b91a19.avi,Causal,Lucia,Why the kid is smiling at the end of the video?,Because she completed the assignment
28,8166472@N03_4977206807_49f8b91a19.avi,Commonsense,Lucia,What class is the woman teaching?,A computer class
29,8166472@N03_4977206807_49f8b91a19.avi,Implicit,Lucia,Are they in school?,Yes
30,8166472@N03_4977206807_49f8b91a19.avi,Outofscope,Giovanni,is the old man holding a cup?,There is no old man
31,8166472@N03_4977206807_49f8b91a19.avi,Counterfactual,Giovanni,What would happen if someone drops some liquid on the pc?,it would stop working
32,8166472@N03_4977206807_49f8b91a19.avi,Uncertainty,Giovanni,is the young student working on a web site?,difficult to understand
33,8166472@N03_4977206807_49f8b91a19.avi,Sentiment,Giovanni,How would you describe the sentiment of the student at the end of the video?,she seems happy
34,8166472@N03_4977206807_49f8b91a19.avi,Occult entity,Giovanni,what is the color of the t-shirt of the girl sited nearby the young student?,she has a with t-shirt
35,8166472@N03_4977206807_49f8b91a19.avi,Entity tracking,Giovanni,is the cup position changed between the beginning and the end of the video?,no
36,8166472@N03_4977206807_49f8b91a19.avi,Temporal,Giovanni,does the teacher give the high 5 before or after pointing to the screen?,after
37,8166472@N03_4977206807_49f8b91a19.avi,Causal,Giovanni,what is the cause of the girl smiling?,she smiles because she succeded at her task
38,8166472@N03_4977206807_49f8b91a19.avi,Commonsense,Giovanni,where is located the scene?,probably in a school IT laboratory
39,8166472@N03_4977206807_49f8b91a19.avi,Implicit,Giovanni,is day time?,yes
40,8166472@N03_4977206807_49f8b91a19.avi,Outofscope,Alessio,What door does the key around the teacher's neck open?,It cannot be determined from the video.
41,8166472@N03_4977206807_49f8b91a19.avi,Counterfactual,Alessio,What would have happened if the power had gone out?,The student could not complete the task on the computer.
42,8166472@N03_4977206807_49f8b91a19.avi,Uncertainty,Alessio,Does the teacher teach computer science?,"It is possible, but there is not enough evidence to state this with certainty."
43,8166472@N03_4977206807_49f8b91a19.avi,Sentiment,Alessio,Is the girl happy at the end of the video?,Yes.
44,8166472@N03_4977206807_49f8b91a19.avi,Occult entity,Alessio,Who is the other person talking in the video?,Probably another teacher.
45,8166472@N03_4977206807_49f8b91a19.avi,Entity tracking,Alessio,Does the teacher move during the video?,Yes.
46,8166472@N03_4977206807_49f8b91a19.avi,Temporal,Alessio,Is the teacher present at the end of the video?,No.
47,8166472@N03_4977206807_49f8b91a19.avi,Causal,Alessio,What happens after the teacher praises the student?,The student smiles.
48,8166472@N03_4977206807_49f8b91a19.avi,Commonsense,Alessio,Is the video filmed in a school?,Yes.
49,8166472@N03_4977206807_49f8b91a19.avi,Implicit,Alessio,Is the video filmed during the night?,Probably no.
50,8166472@N03_4977206807_49f8b91a19.avi,Outofscope,Raffaella,Is the cat on the table black?,There is no cat on the table.
51,8166472@N03_4977206807_49f8b91a19.avi,Uncertainty,Raffaella,Is the lady a doctor?,It's not clear from the video
52,8166472@N03_4977206807_49f8b91a19.avi,Sentiment,Raffaella,Was the girl successful in her task?,"Yes, she was."
53,8166472@N03_4977206807_49f8b91a19.avi,Temporal,Raffaella,Is the blond lady always present in the video?,"No, she is not."
54,8166472@N03_4977206807_49f8b91a19.avi,Commonsense,Raffaella,"Between the girl and the lady, who is the teacher and who is the student?","The lady is the teacher, the girl is the student"
55,8166472@N03_4977206807_49f8b91a19.avi,Implicit,Raffaella,Why is the girl happy at end of the video?,Because she succeeded in her task
56,12247055@N00_3429200228_9ba52a9c28.avi,Outofscope,Alessandro B.,Where is the person playing the harmonica,There is no person playing the harmonica
57,12247055@N00_3429200228_9ba52a9c28.avi,Counterfactual,Alessandro B.,Is the bald guy playing the guitar?,"No, he is playing the drums"
58,12247055@N00_3429200228_9ba52a9c28.avi,Uncertainty,Alessandro B.,is there a crowd listening,There are no elements to know
59,12247055@N00_3429200228_9ba52a9c28.avi,Sentiment,Alessandro B.,Are they sad?,"No, they seem happy"
60,12247055@N00_3429200228_9ba52a9c28.avi,Occult entity,Alessandro B.,What is behind the person on the left?,An amplifier
61,12247055@N00_3429200228_9ba52a9c28.avi,Entity tracking,Alessandro B.,Do the band members change position?,"No, they stay in their place"
62,12247055@N00_3429200228_9ba52a9c28.avi,Temporal,Alessandro B.,Do the song end at the end of the video?,No
63,12247055@N00_3429200228_9ba52a9c28.avi,Causal,Alessandro B.,Why are they playing?,Because they are at a concert
64,12247055@N00_3429200228_9ba52a9c28.avi,Commonsense,Alessandro B.,Why do the light changes color,Because it is a concert
65,12247055@N00_3429200228_9ba52a9c28.avi,Implicit,Alessandro B.,Is the music loud?,"yes, it is a concert"
66,12247055@N00_3429200228_9ba52a9c28.avi,Outofscope,Lucia,Is someone playing the piano?,There is no piano
67,12247055@N00_3429200228_9ba52a9c28.avi,Counterfactual,Lucia,What would happen if they stopped playing?,The music would stop
68,12247055@N00_3429200228_9ba52a9c28.avi,Uncertainty,Lucia,How is the song called?,Don't know
69,12247055@N00_3429200228_9ba52a9c28.avi,Sentiment,Lucia,Are they having fun?,It looks like it
70,12247055@N00_3429200228_9ba52a9c28.avi,Occult entity,Lucia,What is behind the singer?,The drum kit
71,12247055@N00_3429200228_9ba52a9c28.avi,Entity tracking,Lucia,Do the singer moves around?,"No, he stay in place"
72,12247055@N00_3429200228_9ba52a9c28.avi,Temporal,Lucia,When do the lights change color?,In tune with the song's rithm
73,12247055@N00_3429200228_9ba52a9c28.avi,Causal,Lucia,Why are they playing?,Because they are at a concert
74,12247055@N00_3429200228_9ba52a9c28.avi,Commonsense,Lucia,Where are them?,At a concert
75,12247055@N00_3429200228_9ba52a9c28.avi,Implicit,Lucia,What genre are they playing?,rock
76,12247055@N00_3429200228_9ba52a9c28.avi,Outofscope,Davide,When did the musician start to play the piano?,Nobody is playing the piano in the video
77,12247055@N00_3429200228_9ba52a9c28.avi,Counterfactual,Davide,What would happen if the yellow curtain in the background fell down?,"The curtain would fall on the drummer, who would stop playing"
78,12247055@N00_3429200228_9ba52a9c28.avi,Uncertainty,Davide,Have they been playing together for a long time?,It 's hard to say
79,12247055@N00_3429200228_9ba52a9c28.avi,Uncertainty,Davide,Is the singer lip-synching?,"Apparently not, but not sure"
80,12247055@N00_3429200228_9ba52a9c28.avi,Sentiment,Davide,Are they psyched up for their exhibition?,Yes
81,12247055@N00_3429200228_9ba52a9c28.avi,Occult entity,Davide,Who changes the lights?,Maybe the lighting technician
82,12247055@N00_3429200228_9ba52a9c28.avi,Entity tracking,Davide,Does the singer switch places with the guitarist during the song?,No
83,12247055@N00_3429200228_9ba52a9c28.avi,Temporal,Davide,Does the singer start singing after th group start playing instruments?,Yes
84,12247055@N00_3429200228_9ba52a9c28.avi,Causal,Davide,Why are they playing there?,Because someone invited them for the night in the club
85,12247055@N00_3429200228_9ba52a9c28.avi,Commonsense,Davide,Where are they playing?,"They are playing indoors, maybe in a bar/club/pub"
86,12247055@N00_3429200228_9ba52a9c28.avi,Commonsense,Davide,Is there only one singer in the group?,Yes
87,12247055@N00_3429200228_9ba52a9c28.avi,Implicit,Davide,Are there people in the club?,Definitely
88,12247055@N00_3429200228_9ba52a9c28.avi,Implicit,Davide,What kind of music does the group play?,Definitely rock music
89,12247055@N00_3429200228_9ba52a9c28.avi,Outofscope,Giovanni,is there a piano?,no
90,12247055@N00_3429200228_9ba52a9c28.avi,Counterfactual,Giovanni,what can happen if the curtain on the back falls?,it could occlude the drum player.
91,12247055@N00_3429200228_9ba52a9c28.avi,Uncertainty,Giovanni,what is the colour of the drummer t-shirt,maybe white
92,12247055@N00_3429200228_9ba52a9c28.avi,Sentiment,Giovanni,are the players hyped?,yes
93,12247055@N00_3429200228_9ba52a9c28.avi,Occult entity,Giovanni,is there an amplified speaker on the left?,yes
94,12247055@N00_3429200228_9ba52a9c28.avi,Entity tracking,Giovanni,Are the guitarists swapping their positions?,no
95,12247055@N00_3429200228_9ba52a9c28.avi,Temporal,Giovanni,What happens at the end of the video?,the band is still playing
96,12247055@N00_3429200228_9ba52a9c28.avi,Causal,Giovanni,Why some of the people in the video shaking their left hands?,because that is how you play guitars
97,12247055@N00_3429200228_9ba52a9c28.avi,Commonsense,Giovanni,is there an audience?,probably yes
98,12247055@N00_3429200228_9ba52a9c28.avi,Implicit,Giovanni,are they having fun?,probably yes
99,12247055@N00_3429200228_9ba52a9c28.avi,Outofscope,Raffaella,Is the man playing piano also the singer?,There is no man playing piano.
100,12247055@N00_3429200228_9ba52a9c28.avi,Counterfactual,Raffaella,What would happen if the electricity goes down?,They might stop playing
101,12247055@N00_3429200228_9ba52a9c28.avi,Uncertainty,Raffaella,Is there an audience?,"Probably yes, but it could be a trail"
102,12247055@N00_3429200228_9ba52a9c28.avi,Sentiment,Raffaella,Do the players enjoy the concert?,"Yes, they do"
103,12247055@N00_3429200228_9ba52a9c28.avi,Occult entity,Raffaella,Where does the music come from?,The stereo behind the boy in black
104,12247055@N00_3429200228_9ba52a9c28.avi,Entity tracking,Raffaella,Who is the singer?,The boy with the red shirt
105,12247055@N00_3429200228_9ba52a9c28.avi,Temporal,Raffaella,Does the boy with the red T-shirt sing during the whole video?,No he starts after a few seconds
106,12247055@N00_3429200228_9ba52a9c28.avi,Commonsense,Raffaella,Are the boys playing classical music?,"No, they are not"
107,12247055@N00_3429200228_9ba52a9c28.avi,Outofscope,Alessio,Does the bassist have long hair?,There is no bass player.
108,12247055@N00_3429200228_9ba52a9c28.avi,Counterfactual,Alessio,What would happen if the curtain behind the band fell down?,The drummer would probably stop playing.
109,12247055@N00_3429200228_9ba52a9c28.avi,Uncertainty,Alessio,Is the guitarist a professional guitarist?,There are not enough information the answer this question.
110,12247055@N00_3429200228_9ba52a9c28.avi,Sentiment,Alessio,Is the guitarist bored?,It seems not.
111,12247055@N00_3429200228_9ba52a9c28.avi,Occult entity,Alessio,What does the paper on the floor contain?,Probably the setlist.
112,12247055@N00_3429200228_9ba52a9c28.avi,Entity tracking,Alessio,Does the singer start jumping?,No.
113,12247055@N00_3429200228_9ba52a9c28.avi,Temporal,Alessio,Does the singer sing for the entire duration of the video?,No.
114,12247055@N00_3429200228_9ba52a9c28.avi,Causal,Alessio,What happens when the boy on the right moves his left arm?,He changes chords on the guitar.
115,12247055@N00_3429200228_9ba52a9c28.avi,Commonsense,Alessio,Where was the video filmed?,"Probably in a club, or a bar."
116,12247055@N00_3429200228_9ba52a9c28.avi,Implicit,Alessio,Are there people attending the concert?,Yes.
117,31418118@N00_3210797351_183d815d23.mov,Outofscope,Alessandro B.,What does the cat do?,There is no cat
118,31418118@N00_3210797351_183d815d23.mov,Counterfactual,Alessandro B.,What would happen if the rabbit was locked in its cage,It couldn't play
119,31418118@N00_3210797351_183d815d23.mov,Uncertainty,Alessandro B.,What's inside the box?,We don't see inside the box
120,31418118@N00_3210797351_183d815d23.mov,Sentiment,Alessandro B.,Do the rabbit look happy?,"Yes, it is playing"
121,31418118@N00_3210797351_183d815d23.mov,Occult entity,Alessandro B.,What on the left?,The rabbit's cage
122,31418118@N00_3210797351_183d815d23.mov,Entity tracking,Alessandro B.,Where does the rabbit go at the end of the video,It goes down the corridor
123,31418118@N00_3210797351_183d815d23.mov,Temporal,Alessandro B.,What happens to the car toy?,It get tossed around by the rabbit
124,31418118@N00_3210797351_183d815d23.mov,Causal,Alessandro B.,What happens when the rabbbit tosses the toy=,It falls
125,31418118@N00_3210797351_183d815d23.mov,Commonsense,Alessandro B.,Is this wild rabbit?,"No, it is domesticated"
126,31418118@N00_3210797351_183d815d23.mov,Implicit,Alessandro B.,Where does the rabbit live?,In the cage
127,31418118@N00_3210797351_183d815d23.mov,Outofscope,Lucia,Is the kid wearing a black t-shirt?,There is no kid
128,31418118@N00_3210797351_183d815d23.mov,Counterfactual,Lucia,What would happen if the toy was heavier?,The rabbit couldn't lift it
129,31418118@N00_3210797351_183d815d23.mov,Uncertainty,Lucia,What is at the end of the corridor?,Can't see
130,31418118@N00_3210797351_183d815d23.mov,Sentiment,Lucia,Do the rabbit seem sad?,No
131,31418118@N00_3210797351_183d815d23.mov,Occult entity,Lucia,What is behind the paper?,The toy car
132,31418118@N00_3210797351_183d815d23.mov,Entity tracking,Lucia,How the rabbit moves around?,It first goes towards the camera then far away
133,31418118@N00_3210797351_183d815d23.mov,Temporal,Lucia,Where is the rabbit at the end of the video?,At the end of the corridor
134,31418118@N00_3210797351_183d815d23.mov,Causal,Lucia,Why the rabbit tosses the toy?,Because it is playing
135,31418118@N00_3210797351_183d815d23.mov,Commonsense,Lucia,Why is there a cage?,Because it is where the rabbit lives
136,31418118@N00_3210797351_183d815d23.mov,Implicit,Lucia,Is the person filming the owner of the house?,"Yes, probably"
137,31418118@N00_3210797351_183d815d23.mov,Outofscope,Davide,Where is the boy running to?,There is no boy in the scene
138,31418118@N00_3210797351_183d815d23.mov,Counterfactual,Davide,The rabbit could have entered his cage if he had wanted to?,Yes
139,31418118@N00_3210797351_183d815d23.mov,Counterfactual,Davide,What would have happened to the rabbit at the end of the video if the room door had been closed?,It could not have escaped to the other room
140,31418118@N00_3210797351_183d815d23.mov,Uncertainty,Davide,Is the rabbit running to go eating?,Don't know
141,31418118@N00_3210797351_183d815d23.mov,Uncertainty,Davide,Is the rabbit hungry?,Don't know
142,31418118@N00_3210797351_183d815d23.mov,Occult entity,Davide,Where was the toy car before the rabbit threw it away?,Behind the cardboard
143,31418118@N00_3210797351_183d815d23.mov,Entity tracking,Davide,Where does the rabbit escape?,It goes to another room
144,31418118@N00_3210797351_183d815d23.mov,Temporal,Davide,Does the rabbit play first with the toy car and then with the cardboard?,Yes
145,31418118@N00_3210797351_183d815d23.mov,Causal,Davide,Why does the toy car fly?,Because the rabbit throws it away
146,31418118@N00_3210797351_183d815d23.mov,Commonsense,Davide,Has the rabbit gone crazy?,"No, he's just playing"
147,31418118@N00_3210797351_183d815d23.mov,Implicit,Davide,Is the rabbit owned by someone?,Probably yes
148,31418118@N00_3210797351_183d815d23.mov,Outofscope,Giovanni,Are there three or four bottles?,no bottles
149,31418118@N00_3210797351_183d815d23.mov,Counterfactual,Giovanni,What would happen if the rabbit was caged?,it would not have bitten so many things
150,31418118@N00_3210797351_183d815d23.mov,Uncertainty,Giovanni,is the paper in the background showing a kiwi?,not easy to assess
151,31418118@N00_3210797351_183d815d23.mov,Sentiment,Giovanni,is the rabbit calm or somehow agitated?,the rabbit is agitated
152,31418118@N00_3210797351_183d815d23.mov,Occult entity,Giovanni,what is left behind the paper in foreground?,"a yellow car, or a brown paper"
153,31418118@N00_3210797351_183d815d23.mov,Entity tracking,Giovanni,Where is the yellow mini car at the end of the video?,on the left near the box
154,31418118@N00_3210797351_183d815d23.mov,Temporal,Giovanni,has the rabbit bitten the car befor biting the paper?,no
155,31418118@N00_3210797351_183d815d23.mov,Causal,Giovanni,what is the cause of the car falling?,the rabbit throw it up in the air
156,31418118@N00_3210797351_183d815d23.mov,Commonsense,Giovanni,what is the cage for?,it is the rabbit house
157,31418118@N00_3210797351_183d815d23.mov,Implicit,Giovanni,is the rabbit free to move in the room?,yes
158,31418118@N00_3210797351_183d815d23.mov,Outofscope,Raffaella,What's the color of the boy's hair?,There is no boy in the video
159,31418118@N00_3210797351_183d815d23.mov,Counterfactual,Raffaella,What would happen to the car if it were made of glass?,break
160,31418118@N00_3210797351_183d815d23.mov,Uncertainty,Raffaella,Is the rabbit playing in an appartment?,"It seems so, but it's not completely clear"
161,31418118@N00_3210797351_183d815d23.mov,Sentiment,Raffaella,Is the rabbit calm?,No
162,31418118@N00_3210797351_183d815d23.mov,Occult entity,Raffaella,What is beyond the white paper in the beggining of the video?,A car
163,31418118@N00_3210797351_183d815d23.mov,Entity tracking,Raffaella,"In the beggining of the video the rabit graps a car, where is the car later?",Next to the box
164,31418118@N00_3210797351_183d815d23.mov,Temporal,Raffaella,During the video is the rabit almost always moving?,Yes
165,31418118@N00_3210797351_183d815d23.mov,Causal,Raffaella,What cause the car to appear in the scene?,The rabit launches it
166,31418118@N00_3210797351_183d815d23.mov,Outofscope,Alessio,What is the rabbit doing inside the cage?,The rabbit is not inside the cage.
167,31418118@N00_3210797351_183d815d23.mov,Counterfactual,Alessio,What would have happened if the little yellow car had been bigger?,The rabbit probably would not have been able to throw it.
168,31418118@N00_3210797351_183d815d23.mov,Uncertainty,Alessio,Will the rabbit return to the room where he previously played?,I do not have enough elements to answer this question.
169,31418118@N00_3210797351_183d815d23.mov,Sentiment,Alessio,What is the attitude of the rabbit?,The rabbit seems playful.
170,31418118@N00_3210797351_183d815d23.mov,Occult entity,Alessio,Where is the piece of cardboard at the end of the video?�,It is hidden behind the sheets of paper.
171,31418118@N00_3210797351_183d815d23.mov,Entity tracking,Alessio,Where does the rabbit run to in the final part of the video?,The rabbit runs toward another room.
172,31418118@N00_3210797351_183d815d23.mov,Temporal,Alessio,Can you order the sequence of actions taken by the rabbit from last to first?,1) The rabbit starts running 2) It throws the toy car 3) Ithrows the piece of cardboard 4) It pulls the toy car out of the paper.
173,31418118@N00_3210797351_183d815d23.mov,Causal,Alessio,What happens to the piece of cardboard after the rabbit throws it?,The piece of cardboard falls behind the paper sheets.
174,31418118@N00_3210797351_183d815d23.mov,Commonsense,Alessio,Does the rabbit live in the cage visible at the left of the frame?,Yes.
175,31418118@N00_3210797351_183d815d23.mov,Implicit,Alessio,Does the rabbit have an owner?,Probably yes.
176,43507350@N00_7805483128_dd2856665f.mp4,Outofscope,Alessandro B.,What is the boy doing?,There is no boy in the video
177,43507350@N00_7805483128_dd2856665f.mp5,Counterfactual,Alessandro B.,What would happen if the kangaroo was not hungry,It wouldn't get close to the girl
178,43507350@N00_7805483128_dd2856665f.mp6,Uncertainty,Alessandro B.,Are there other kangaroos?,Can't tell
179,43507350@N00_7805483128_dd2856665f.mp7,Sentiment,Alessandro B.,Is the girl happy?,Yes
180,43507350@N00_7805483128_dd2856665f.mp8,Occult entity,Alessandro B.,What is the girl holding in her hand?,Food for the kangaroo
181,43507350@N00_7805483128_dd2856665f.mp9,Entity tracking,Alessandro B.,Where does the kangaroo goes at the end of the video,It gets away from the gril
182,43507350@N00_7805483128_dd2856665f.mp10,Temporal,Alessandro B.,What happens at the end of the video?,The girl waves to the camera
183,43507350@N00_7805483128_dd2856665f.mp11,Causal,Alessandro B.,Why the kangaroo gets near the girl,To eat from her hand
184,43507350@N00_7805483128_dd2856665f.mp12,Commonsense,Alessandro B.,Where are they?,Probably in Australia
185,43507350@N00_7805483128_dd2856665f.mp13,Implicit,Alessandro B.,Who is the girl waving to?,The person filming her and the kangaroo
186,43507350@N00_7805483128_dd2856665f.mp14,Outofscope,Lucia,Is there a man in the video?,"No, there is no visible man."
187,43507350@N00_7805483128_dd2856665f.mp15,Uncertainty,Lucia,Is there a baby kangooro?,Not possible to infere the kangooro's age.
188,43507350@N00_7805483128_dd2856665f.mp16,Sentiment,Lucia,Is the kangooro scared?,"Yes, it seems."
189,43507350@N00_7805483128_dd2856665f.mp17,Occult entity,Lucia,Is there a man in the video?,"The man is not visible, but it's possible to hear his voice."
190,43507350@N00_7805483128_dd2856665f.mp19,Temporal,Lucia,When does the kangooro eat from the woman's hand?,In the first three seconds of the video
191,43507350@N00_7805483128_dd2856665f.mp20,Outofscope,Davide,Why is the woman feeding the rabbit?,There is no rabbit in the scene. She's feeding the kangaroo
192,43507350@N00_7805483128_dd2856665f.mp21,Counterfactual,Davide,What if the woman had given poisoned food to the kangaroo?,It would have died
193,43507350@N00_7805483128_dd2856665f.mp22,Uncertainty,Davide,Is the kangaroo old?,I don't know
194,43507350@N00_7805483128_dd2856665f.mp23,Sentiment,Davide,Does the kangaroo seem to be afraid of the woman?,Only at the end of the video
195,43507350@N00_7805483128_dd2856665f.mp24,Entity tracking,Davide,Does the woman stand for the whole video?,"No, only at the beginning of it"
196,43507350@N00_7805483128_dd2856665f.mp25,Temporal,Davide,Does the woman get down before she starts feeding the kangaroo?,Yes
197,43507350@N00_7805483128_dd2856665f.mp26,Causal,Davide,Why does the girl seem to be happy?,She's excited to interact with a kangaroo so closely
198,43507350@N00_7805483128_dd2856665f.mp27,Commonsense,Davide,Are they in a safari/ meadow / forest?,Yes
199,43507350@N00_7805483128_dd2856665f.mp28,Implicit,Davide,Where was the video shot?,Australia
200,43507350@N00_7805483128_dd2856665f.mp29,Outofscope,Giovanni,what is the second kangaroo doing?,there is just one kangaroo
201,43507350@N00_7805483128_dd2856665f.mp30,Counterfactual,Giovanni,what would happen if the animal bites the lady?,she would screem
202,43507350@N00_7805483128_dd2856665f.mp31,Uncertainty,Giovanni,is the grass fully dry?,not sure
203,43507350@N00_7805483128_dd2856665f.mp32,Sentiment,Giovanni,is the lady happy?,yes she is
204,43507350@N00_7805483128_dd2856665f.mp33,Occult entity,Giovanni,where has the girl right foot flip flop gone?,is sill there on the right foot
205,43507350@N00_7805483128_dd2856665f.mp34,Entity tracking,Giovanni,does the take off her necklace at some point?,no
206,43507350@N00_7805483128_dd2856665f.mp35,Temporal,Giovanni,the lady waves her hand while giving food to the animal?,yes
207,43507350@N00_7805483128_dd2856665f.mp36,Causal,Giovanni,What has caused the kangaroo to come near the lady?,her food
208,43507350@N00_7805483128_dd2856665f.mp37,Commonsense,Giovanni,is the outside temperature cold freezing?,no
209,43507350@N00_7805483128_dd2856665f.mp38,Implicit,Giovanni,is the animal hungry?,yes
210,43507350@N00_7805483128_dd2856665f.mp39,Outofscope,Raffaella,What does the woman do to the coala?,There are no coala.
211,43507350@N00_7805483128_dd2856665f.mp40,Counterfactual,Raffaella,What would happen if there were no food in the woman's hand,The kangaroo would not keep on eating from her hand
212,43507350@N00_7805483128_dd2856665f.mp41,Uncertainty,Raffaella,Does the woman know the kangaroo well?,It seems it's the first time she sees a kangaroo
213,43507350@N00_7805483128_dd2856665f.mp42,Sentiment,Raffaella,Is the woman happy or sad?,She is happy
214,43507350@N00_7805483128_dd2856665f.mp43,Occult entity,Raffaella,Where is the kangaroo in the middle of the video?,It's next to the woman
215,43507350@N00_7805483128_dd2856665f.mp44,Temporal,Raffaella,What does the kangaroo do while the woman waves?,it eats from the woman's hand
216,43507350@N00_7805483128_dd2856665f.mp45,Commonsense,Raffaella,How is the weather?,It seems nice weather.
217,43507350@N00_7805483128_dd2856665f.mp46,Implicit,Raffaella,Does the woman likes kangaroo?,Yes
218,43507350@N00_7805483128_dd2856665f.mp47,Outofscope,Alessio,What are the kangaroo babies doing?,There are no kangaroo babies present.
219,43507350@N00_7805483128_dd2856665f.mp48,Counterfactual,Alessio,What would have happened if the girl had started screaming?,Most probably the kangaroo would have run away.
220,43507350@N00_7805483128_dd2856665f.mp49,Uncertainty,Alessio,Is the kangaroo more or less than a year old?,There are not enough information the answer this question.
221,43507350@N00_7805483128_dd2856665f.mp50,Sentiment,Alessio,Is the girl happy?,Yes.
222,43507350@N00_7805483128_dd2856665f.mp51,Occult entity,Alessio,What kind of food is the girl holding?,It cannot be determined from the video.
223,43507350@N00_7805483128_dd2856665f.mp52,Entity tracking,Alessio,Does the kangaroo always occupy the same position in the frame throughout the video?,Yes.
224,43507350@N00_7805483128_dd2856665f.mp53,Temporal,Alessio,When does the girl wave to the person who is recording?,About halfway through the video.
225,43507350@N00_7805483128_dd2856665f.mp54,Causal,Alessio,What happens after the girl offers her hand to the kangaroo?,The kangaroo starts eating from her hand.
226,43507350@N00_7805483128_dd2856665f.mp55,Commonsense,Alessio,Was the video filmed in the summer?,Probably yes.
227,43507350@N00_7805483128_dd2856665f.mp56,Implicit,Alessio,In what country was the video shot?,In Australia.
228,57862612@N00_4708165016_f818af49fa.avi,Outofscope,Alessandro B.,Is there food on the floor?,"No, there is no food"
229,57862612@N00_4708165016_f818af49fa.avi,Counterfactual,Alessandro B.,What would happen if the bat fell,Someone would pick it up and give it back to the child
230,57862612@N00_4708165016_f818af49fa.avi,Uncertainty,Alessandro B.,What is behind the blue curtain,There are not enough element to know
231,57862612@N00_4708165016_f818af49fa.avi,Sentiment,Alessandro B.,Are the kids unhappy?,"No, they are having fun"
232,57862612@N00_4708165016_f818af49fa.avi,Occult entity,Alessandro B.,Where is the table?,On the stage in the background
233,57862612@N00_4708165016_f818af49fa.avi,Entity tracking,Alessandro B.,There is a person with a red shirt in the background. What does the person do at the end of the video?,The person claps their hands
234,57862612@N00_4708165016_f818af49fa.avi,Temporal,Alessandro B.,Is the blindfolded child helped by someone during the videoe?,"Yes, a person with a white shirt helps him"
235,57862612@N00_4708165016_f818af49fa.avi,Causal,Alessandro B.,What happens when the child hit the pinhata,part of it fall on the floor
